Elapsed Time,Otel Queue Size,Otel CPU,Otel Memory,Loki-Standin CPU,Loki-Standin Memory,Otel Sent Logs,Total Number of Incoming Items For Otel,Total Number of Outgoing Items For Otel,Number of Logs Accepted By Loki Stand-In,Number of Logs Refused By Loki Stand-In
00:03,4,409m,229Mi,13m,214Mi,1.707545e+06,1.71532e+06,1.71817e+06,1.719045e+06,0
00:22,5,1659m,227Mi,329m,214Mi,1.84779e+06,1.855725e+06,1.85894e+06,1.86023e+06,0
00:41,0,1758m,234Mi,531m,214Mi,2.000755e+06,2.008955e+06,2.011565e+06,2.009875e+06,0
01:00,2,1873m,228Mi,282m,214Mi,2.09525e+06,2.10357e+06,2.107155e+06,2.10551e+06,0
01:19,3,1977m,236Mi,390m,215Mi,2.22008e+06,2.227145e+06,2.23086e+06,2.23327e+06,0
01:38,5,1998m,239Mi,438m,215Mi,2.361625e+06,2.370235e+06,2.37396e+06,2.375455e+06,0
01:57,0,1983m,245Mi,420m,215Mi,2.472035e+06,2.479915e+06,2.481225e+06,2.4793e+06,0
02:16,2,1991m,241Mi,369m,214Mi,2.581215e+06,2.587365e+06,2.58937e+06,2.592015e+06,0
02:35,1,1997m,240Mi,402m,214Mi,2.714275e+06,2.7235e+06,2.727655e+06,2.72622e+06,0
02:54,2,1993m,237Mi,410m,215Mi,2.840735e+06,2.849855e+06,2.85367e+06,2.851265e+06,0
03:13,0,2000m,240Mi,315m,215Mi,2.94415e+06,2.950615e+06,2.952015e+06,2.953425e+06,0
03:32,5,1994m,237Mi,382m,215Mi,3.06573e+06,3.07465e+06,3.07891e+06,3.082025e+06,0
03:51,5,1986m,237Mi,382m,215Mi,3.2009e+06,3.209805e+06,3.213655e+06,3.216635e+06,0
04:10,5,2008m,248Mi,410m,215Mi,3.29904e+06,3.305005e+06,3.306365e+06,3.30701e+06,0
04:29,0,1991m,241Mi,338m,215Mi,3.410125e+06,3.418765e+06,3.4227e+06,3.422165e+06,0
04:49,2,1991m,237Mi,412m,215Mi,3.534225e+06,3.54297e+06,3.54706e+06,3.55058e+06,0
05:07,8,1993m,234Mi,455m,215Mi,3.65446e+06,3.66037e+06,3.661915e+06,3.661725e+06,0
05:26,0,1998m,234Mi,330m,215Mi,3.76106e+06,3.7703e+06,3.774265e+06,3.772385e+06,0
05:45,4,1997m,239Mi,390m,215Mi,3.883735e+06,3.89031e+06,3.89473e+06,3.897565e+06,0
06:04,11,1997m,239Mi,463m,215Mi,4.024995e+06,4.031445e+06,4.03294e+06,4.03065e+06,0
06:23,2,1997m,246Mi,445m,214Mi,4.116405e+06,4.12516e+06,4.129415e+06,4.13257e+06,0
06:42,5,2002m,251Mi,373m,215Mi,4.234605e+06,4.241045e+06,4.24218e+06,4.244445e+06,0
07:01,4,1993m,242Mi,402m,215Mi,4.36595e+06,4.37488e+06,4.378945e+06,4.37963e+06,0
07:20,2,2000m,242Mi,433m,215Mi,4.476215e+06,4.48522e+06,4.488445e+06,4.48593e+06,0
07:39,2,1999m,236Mi,324m,215Mi,4.586665e+06,4.592965e+06,4.59446e+06,4.5944e+06,0
07:58,6,2002m,238Mi,375m,215Mi,4.70638e+06,4.715405e+06,4.71987e+06,4.722295e+06,0
08:17,0,1992m,239Mi,427m,216Mi,4.83077e+06,4.837825e+06,4.841695e+06,4.843905e+06,0
08:36,3,2004m,240Mi,372m,215Mi,4.926625e+06,4.93283e+06,4.93389e+06,4.93179e+06,0
08:55,1,1997m,252Mi,357m,215Mi,5.03228e+06,5.041265e+06,5.045285e+06,5.04811e+06,0
09:14,0,1997m,247Mi,442m,214Mi,5.16825e+06,5.17471e+06,5.176115e+06,5.17971e+06,0
09:32,4,1993m,242Mi,424m,214Mi,5.272565e+06,5.278545e+06,5.279725e+06,5.27713e+06,0
09:51,0,1993m,242Mi,319m,215Mi,5.35133e+06,5.356155e+06,5.356155e+06,5.35133e+06,0
10:09,0,495m,242Mi,46m,215Mi,5.35133e+06,5.356155e+06,5.356155e+06,5.35133e+06,0
